City,Address,Price,Land,Bedroom,Bathroom,Face,Floor,Road
Kathmandu,Balambu,14500000,855.625,5,3,South East,2.5,10
Kathmandu,Balkhu,45000000,2652.4375,4,3,East,2.5,16
Bhaktapur,Balkot,27500000,1155.09375,4,4,West,2.5,13
Bhaktapur,Balkot,55000000,2566.875,3,3,South,3.5,26
Lalitpur,Balkumari,17500000,1394,3,2,South East,12,20
Kathmandu,Baluwatar,41000000,2395.75,11,4,South East,4,12
Kathmandu,Baniyatar,23750000,1197.875,6,5,North West,3,12
Kathmandu,Basundhara,42500000,1454.5625,8,4,North East,4.5,24
Lalitpur,Bhainsepati,50000000,1796.8125,5,6,North East,2.5,15
Kathmandu,Bhangal,17500000,1540.125,2,1,South,1,16
Kathmandu,"Bhotebahal,Teku",36500000,577.546875,8,3,West,3.5,10
Kathmandu,Birendra Chowk,24000000,1048.140625,6,3,South West,2.5,13
Bhaktapur,Bode,18500000,1155.09375,3,3,East,2.5,13
Bhaktapur,Bode,28000000,1369,6,3,North West,2.5,13
Bhaktapur,Bode,45500000,2053.5,13,7,North East,4.5,13
Lalitpur,Boje Pokhari,27500000,1155.09375,6,4,North West,3,13
Kathmandu,Boudha,35000000,1754.03125,5,4,West,2.5,20
Kathmandu,Boudha,100000000,2738,6,4,East,4,10
Kathmandu,Budhanilkantha,16500000,1711.25,9,3,South,2.5,14
Kathmandu,Budhanilkantha,28000000,1026.75,4,4,South,2.5,13
Kathmandu,Budhanilkantha,30000000,1711.25,5,4,South West,2.5,13
Kathmandu,Budhanilkantha,31000000,1882.375,5,6,North,2.5,20
Kathmandu,Budhanilkantha,49500000,1967.9375,5,5,South,2.5,13
Kathmandu,Budhanilkantha,53000000,1882.375,5,3,North,3,14
Kathmandu,Budhanilkantha,70000000,2395.75,5,6,South East,2.5,14
Kathmandu,Budhanilkantha,85000000,3764.75,6,4,South East,2.5,13
Kathmandu,Chabahil,23500000,1069.53125,5,3,North East,2.5,13
Kathmandu,Chandragiri,21000000,1283.4375,9,5,East,4,25
Bhaktapur,Chardobato,31000000,1540.125,5,4,West,2.5,12
Bhaktapur,Dhadikot,59500000,3422.5,5,6,East,2.5,14
Lalitpur,Dhapakhel,29000000,1197.875,3,3,South East,2.5,26
Lalitpur,Dholahiti Height,29900000,1796.8125,6,3,East,2.5,20
Lalitpur,Dhunge Sangu,27500000,1283.4375,7,5,North East,2.5,8
Kathmandu,Dhungedhara,33000000,1026.75,5,4,West,3,13
Bhaktapur,Duwakot,13500000,855.625,5,4,North,3,8
Kathmandu,Ganga Hall Marg,47500000,3080.25,11,10,North East,5.5,20
Kathmandu,Gaurighat,35000000,1390.390625,12,8,South,4,10
Kathmandu,Gokarneshwor Municipality- 2,18000000,2566.875,2,1,East,1.5,12
Kathmandu,Gongabu,55000000,2738,11,6,South West,3.5,12
Kathmandu,Gothatar,17000000,1369,6,3,North,2.5,10
Kathmandu,Gothatar,24000000,1069.53125,6,3,East,2.5,13
Kathmandu,Guheshwori Planning,28000000,1283.4375,8,4,West,2.5,20
Lalitpur,Harisiddhi,24000000,1155.09375,3,5,North West,2.5,20
Lalitpur,Harisiddhi,27000000,1411.78125,3,3,North,2.5,20
